output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:186:32: error: ‘class Legion::Domain’ has no member named ‘get_rect’,heapify,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:186:44: error: expected primary-expression before ‘)’ token,heapify,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:193:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:193:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
14,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpp193fi8x/sift.hpp:193:74: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:96:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:96:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:110:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:112:28: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:119:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:126:12: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:134:24: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:136:32: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:144:8: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:149:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:149:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:186:32: error: ‘class Legion::Domain’ has no member named ‘get_rect’,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:186:44: error: expected primary-expression before ‘)’ token,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:193:35: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:193:53: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
14,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp1gzdg_d6/sift.hpp:193:74: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
17,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:86:41: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:86:59: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:100:17: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:100:49: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:105:17: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:105:49: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:108:18: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:110:12: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:110:43: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:120:21: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:120:53: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:124:23: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:126:8: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:140:41: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
17,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:140:59: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
17,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/sift.hpp:140:91: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
17,build,build,Declaration_Or_Function_Call_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/heaps.cpp:72:6: error: redefinition of ‘void sift_down_range_task(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)’",heapify,gpt-5.3-codex,Legion
17,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp4xc7fnp_/heaps.cpp:136:21: error: ‘from_rect’ is not a member of ‘Legion::Domain’,heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:86:41: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:86:59: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:100:17: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:100:49: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:105:17: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:105:49: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:108:18: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:110:12: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:110:43: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:120:21: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:120:53: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:124:23: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:126:8: error: no match for ‘operator[]’ (operand types are ‘const int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:140:41: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:140:59: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/sift.hpp:140:91: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Declaration_Or_Function_Call_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/heaps.cpp:72:6: error: redefinition of ‘void sift_down_range_task(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)’",heapify,gpt-5.3-codex,Legion
17,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmp_odmro5l/heaps.cpp:136:21: error: ‘from_rect’ is not a member of ‘Legion::Domain’,heapify,gpt-5.3-codex,Legion
20,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:98:33: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:98:51: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
20,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:98:83: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/heaps.cpp:49:3: error: ‘sift_down_range’ was not declared in this scope; did you mean ‘heap_legion::sift_down_range’?,heapify,gpt-5.3-codex,Legion
20,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/heaps.cpp:49:19: error: expected primary-expression before ‘int’,heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/heaps.cpp:107:3: error: ‘sift_down’ was not declared in this scope; did you mean ‘heap_legion::sift_down’?,heapify,gpt-5.3-codex,Legion
20,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/heaps.cpp:107:13: error: expected primary-expression before ‘int’,heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:37:17: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:37:31: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:44:15: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:44:29: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:48:16: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:52:8: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:52:38: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:64:19: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:64:33: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:69:21: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmps55vr612/sift.hpp:71:6: error: no match for ‘operator[]’ (operand types are ‘int’ and ‘Legion::Point<1, long long int>’ {aka ‘Realm::Point<1, long long int>’})",heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/sift.hpp:98:33: error: ‘READ_WRITE’ is not a member of ‘Legion’; did you mean ‘READ_WRITE’?,heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/sift.hpp:98:51: error: template argument 1 is invalid,heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/sift.hpp:98:83: error: expression list treated as compound expression in initializer [-fpermissive],heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/heaps.cpp:49:3: error: ‘sift_down_range’ was not declared in this scope; did you mean ‘heap_legion::sift_down_range’?,heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/heaps.cpp:49:19: error: expected primary-expression before ‘int’,heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/heaps.cpp:107:3: error: ‘sift_down’ was not declared in this scope; did you mean ‘heap_legion::sift_down’?,heapify,gpt-5.3-codex,Legion
20,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/gpt-5.3-codex/tmpg66p75iv/heaps.cpp:107:13: error: expected primary-expression before ‘int’,heapify,gpt-5.3-codex,Legion
